d [mm],delta,nDof,(a),(b),(c),(d),(e),Average energy density [kPa],Gravitational Energy [mJ],Total energy [mJ],Theoretical 2D energy [mJ],Cross-section average energy density [kPa]
1.62,0.1,586314,7.31,3.74,41.35,0.79,1.51,9.9,0.00066,21.55,128.42,29.5
1.62,0.2,585135,7.31,4.09,37.02,0.79,1.56,21.5,0.00144,47.09,151.1,64.5
1.62,0.3,589368,7.31,4.14,32.63,0.79,1.57,33.4,0.00223,72.94,173.79,99.4
1.62,0.4,585726,7.31,4.15,28.25,0.79,1.57,45.2,0.00302,98.84,196.47,114.0
1.62,0.5,622953,7.32,4.16,23.86,0.79,1.57,57.0,0.00381,124.73,219.15,117.4
1.62,0.6,580812,7.39,4.16,19.51,0.78,1.57,68.8,0.0046,150.54,241.83,118.1
1.62,0.7,571041,7.62,4.15,15.3,0.77,1.57,80.7,0.00538,176.41,264.52,118.2
1.62,0.8,584481,8.0,4.15,11.36,0.75,1.57,92.4,0.00618,202.13,287.2,118.3
1.62,0.9,568815,7.3,4.16,7.37,0.79,1.57,104.2,0.00695,227.88,309.88,118.2
1.62,1.0,499830,2.92,4.15,4.01,0.06,1.57,114.0,0.00757,249.32,332.56,118.2
